sample,type,season,merge,site,Rainfall,Temperature,Turbidity,Salinity,pH,TN,TP,COD,totalMP,SO2,DO,velocity,lifestyle,Richness,Gini_simpson,Evenness,indicator.ratio,total.ratio,indicator.rb
203,NP,2.may,np2,F1,3.3,24.5,1.1,0,7.7,1.9,0,10,1.3,9,8.4,0.1,lysogenic,744,0.964342905,0.670863017,,,
204,NP,2.may,np2,F2,3.3,25.5,2.2,0.1,7.5,2.1,0.1,12,0.6,10.6,8,1,lysogenic,875,0.930401484,0.625172557,,,
205,NP,2.may,np2,F3,3.3,24.9,1.9,13,7.3,1.9,0.1,39,1,114,4.1,0.2,lysogenic,781,0.976346223,0.698840129,,,
206,NP,2.may,np2,G1,0.2,28.6,2.5,24,8,3,0,12,3.5,9,7.1,0.1,lysogenic,522,0.977279772,0.732259812,,,
207,NP,2.may,np2,G2,0.2,27.4,4.4,11.6,7.6,2,0.1,11,2.5,152,5.7,0,lysogenic,1013,0.975090615,0.654756111,,,
208,NP,2.may,np2,H0,13.1,28.7,3,7.7,7.3,6.3,0.7,46,0.7,727,7.1,0.4,lysogenic,898,0.986307027,0.774217217,,,
209,NP,2.may,np2,I0,13.1,29,2,5.1,7.7,1.3,0.1,26,2,714,8.1,0,lysogenic,959,0.953718769,0.630851794,,,
210,NP,2.may,np2,J0,0.2,27.7,1.2,0.1,7.4,1.1,0.1,9,0.8,11.3,7.4,0.4,lysogenic,638,0.879238895,0.535136799,,,
211,NP,3.Aug,np3,A0,0.5,29.4,9.5,0,7.6,1.4,0,5,0.7,8.3,7.6,0,lysogenic,856,0.980830785,0.70046443,,,
212,NP,3.Aug,np3,B0,0.5,30.4,7.5,0.2,7.6,6.1,0.2,12,0.6,27.3,7,0,lysogenic,1055,0.979481838,0.702493069,,,
213,NP,3.Aug,np3,C1,2.5,30,17.5,0.1,9.5,2.3,0.2,16,1.2,12.9,6.8,0.4,lysogenic,810,0.973814698,0.675242805,,,
214,NP,3.Aug,np3,C2,2.5,28.4,4,11.5,7.4,2,0,17,0.7,134,5.4,0,lysogenic,1055,0.983192021,0.733733206,,,
215,NP,3.Aug,np3,D1,25.8,29.7,1.8,0.4,7.2,5.1,0.4,17,0.5,47.2,3.7,0.6,lysogenic,711,0.938243647,0.590900263,,,
216,NP,3.Aug,np3,D2,25.8,30,20.9,0.5,7.2,2.7,0.2,11,2.2,12.5,3.2,0.9,lysogenic,1156,0.967771678,0.700977976,,,
217,NP,3.Aug,np3,E0,15.5,29.5,69.3,0.1,7.3,1.6,0,14,0.7,15.3,6.8,0,lysogenic,948,0.985041991,0.718739655,,,
218,NP,3.Aug,np3,F1,15.5,28.1,1.3,0,7.4,3.3,0,5,2.7,8,8,0.2,lysogenic,682,0.971577991,0.665627872,,,
219,NP,3.Aug,np3,F2,15.5,30.1,1.7,0,7.4,1.6,0,6,0.6,14.2,7.9,1,lysogenic,796,0.95933799,0.628000985,,,
220,NP,3.Aug,np3,F3,15.5,29.6,1.4,16.2,7.4,2.3,0,8,1.5,125,5.2,0.2,lysogenic,1358,0.984590538,0.72600251,,,
221,NP,3.Aug,np3,G1,0,31.2,2.7,31.6,7.9,2,0.1,21,1.8,154,5.9,0.1,lysogenic,1247,0.985304142,0.729913648,,,
222,NP,3.Aug,np3,G2,0,31.1,1.7,23.7,7.7,2.1,0.1,21,1.2,135,5.2,0,lysogenic,1254,0.986519138,0.756040224,,,
223,NP,3.Aug,np3,H0,0.9,31.9,3.7,8.7,7.3,4.9,0.6,29,4.5,615,6.9,0.3,lysogenic,616,0.920693639,0.569552605,,,
224,NP,3.Aug,np3,I0,0.9,29.2,28.2,0.1,7.8,1.8,0,4,1.7,521,7.3,0,lysogenic,1107,0.984744307,0.733442005,,,
225,NP,3.Aug,np3,J0,2.5,29.2,1.6,0.1,7.4,1.5,0,9,0.7,8.8,7.3,0.3,lysogenic,794,0.983666578,0.726779927,,,
226,NP,4.nov,np4,A0,0,28.2,2.3,0,7.6,0.7,0,5,0.9,9,9.4,0.2,lysogenic,591,0.854331102,0.474565789,,,
